"Aikaleima","Millä päätelaitteella vastaat kyselyyn?","Kuinka tehokkaasti tiimi työskentelee yhdessä?","Millainen ryhmähenki tiimissänne on?","Kuinka hyvin tiimiviestintä on toiminut?","Kuinka hyvin ryhmän roolijako on onnistunut?","Mitä työkaluja tiimi on käyttänyt?","Kuinka miellyttävä meidän luoman html-kyselyn käyttöliittymä on käytettävyydeltään?","...Entä ulkoasultaan?"
"2016/10/28 12:41:59 ip. UTC+2","","4","4","4","3","Slack;Github;Whatsapp;Google Forms","",""
"2016/10/28 12:42:02 ip. UTC+2","","4","5","5","4","Slack;Github;Whatsapp;Google Forms","",""
"2016/10/28 12:42:29 ip. UTC+2","","3","2","4","2","Slack;Github;Trello;Joku muu","",""
"2016/10/28 12:42:53 ip. UTC+2","","5","1","2","3","Slack;Github;Trello;Whatsapp;Google Forms;Joku muu","",""
"2016/10/28 12:43:02 ip. UTC+2","","3","2","4","3","Github;Whatsapp;Google Forms;Joku muu","",""
"2016/10/28 12:43:33 ip. UTC+2","","2","2","2","2","Slack;Trello;Joku muu","",""
"2016/10/28 12:43:36 ip. UTC+2","","3","3","3","2","Slack;Github;Trello;Whatsapp","",""
"2016/10/28 12:43:42 ip. UTC+2","","4","3","2","3","Slack;Github;Whatsapp;Google Forms;Joku muu","",""
"2016/10/28 12:43:43 ip. UTC+2","","5","5","5","5","Slack;Github;Trello;Whatsapp;Google Forms","",""
"2016/10/28 12:43:52 ip. UTC+2","","4","5","4","5","Slack;Github;Trello;Whatsapp;Google Forms;Joku muu","",""
"2016/10/28 12:45:11 ip. UTC+2","","3","3","3","3","Slack;Github;Trello;Google Forms","",""
"2016/10/28 12:48:48 ip. UTC+2","","5","5","5","4","Slack;Github;Trello;Whatsapp;Google Forms","",""
"2016/10/28 12:49:07 ip. UTC+2","","4","5","5","5","Whatsapp;Google Forms;Joku muu","",""
"2016/10/28 1:01:13 ip. UTC+2","","4","4","4","4","Github;Whatsapp;Google Forms","",""
"2016/10/28 1:02:01 ip. UTC+2","","5","5","5","5","Whatsapp;Google Forms","",""
"2016/11/02 9:08:52 ap. UTC+2","","3","3","4","3","Slack;Github;Whatsapp","",""
"2016/11/02 6:07:50 ip. UTC+2","Tietokoneella","","","","","","4","4"
"2016/11/02 6:08:18 ip. UTC+2","Mobiililaitteella","","","","","","3","4"
"2016/11/02 6:08:33 ip. UTC+2","Tietokoneella","","","","","","3","3"
"2016/11/02 6:08:40 ip. UTC+2","Tietokoneella","","","","","","5","5"
"2016/11/02 6:08:49 ip. UTC+2","Tietokoneella","","","","","","4","5"
"2016/11/02 6:08:59 ip. UTC+2","Tietokoneella","","","","","","4","4"
"2016/11/02 6:09:25 ip. UTC+2","Mobiililaitteella","","","","","","3","3"
"2016/11/02 6:09:32 ip. UTC+2","Tietokoneella","","","","","","3","4"
"2016/11/04 1:38:34 ip. UTC+2","Tietokoneella","5","5","5","5","Slack;Github;Trello;Whatsapp;Google Forms","5","5"
"2016/11/04 1:41:30 ip. UTC+2","Tietokoneella","4","4","3","3","Slack;Github;Whatsapp","4","4"
"2016/11/04 1:58:41 ip. UTC+2","Tietokoneella","4","4","4","4","Github;Whatsapp;Google Forms","4","4"
"2016/11/04 2:03:11 ip. UTC+2","Tietokoneella","3","3","4","3","Github;Whatsapp","4","3"
"2016/11/04 2:04:24 ip. UTC+2","Tietokoneella","4","2","3","3","Slack;Whatsapp;Google Forms","4","5"
"2016/11/04 2:07:45 ip. UTC+2","Tietokoneella","5","5","5","4","Github;Trello;Whatsapp;Google Forms;Joku muu","4","4"
"2016/11/04 2:10:48 ip. UTC+2","Tietokoneella","3","4","4","4","Slack;Github;Trello;Whatsapp;Google Forms;Joku muu","4","2"
"2016/11/04 2:13:19 ip. UTC+2","Tietokoneella","4","4","4","4","Joku muu","4","4"
"2016/11/04 3:02:42 ip. UTC+2","Tietokoneella","5","5","5","5","Slack;Github;Trello;Whatsapp;Joku muu","4","3"
"2016/11/04 5:02:54 ip. UTC+2","Tietokoneella","5","5","5","5","Slack;Github;Trello;Whatsapp;Google Forms;Joku muu","5","4"
"2016/11/09 9:25:40 ap. UTC+2","Tietokoneella","3","3","3","3","Slack;Github;Whatsapp","4","4"