"Aikaleima","Kuinka tehokkaasti tiimi työskentelee yhdessä?","Kuinka suuri osa tiimistä työskentelee aktiivisesti?","Kuinka hyvin tiimiviestintä on toiminut?","Kuinka hyvin ryhmän roolijako on onnistunut?","Mitä työkaluja tiimi on käyttänyt?"
"2016/10/28 1:41:59 ip. UTC+3","4","4","4","3","Slack;Github;Whatsapp;Google Forms"
"2016/10/28 1:42:02 ip. UTC+3","4","5","5","4","Slack;Github;Whatsapp;Google Forms"
"2016/10/28 1:42:29 ip. UTC+3","3","2","4","2","Slack;Github;Trello;Joku muu"
"2016/10/28 1:42:53 ip. UTC+3","5","1","2","3","Slack;Github;Trello;Whatsapp;Google Forms;Joku muu"
"2016/10/28 1:43:02 ip. UTC+3","3","2","4","3","Github;Whatsapp;Google Forms;Joku muu"
"2016/10/28 1:43:33 ip. UTC+3","2","2","2","2","Slack;Trello;Joku muu"
"2016/10/28 1:43:36 ip. UTC+3","3","3","3","2","Slack;Github;Trello;Whatsapp"
"2016/10/28 1:43:42 ip. UTC+3","4","3","2","3","Slack;Github;Whatsapp;Google Forms;Joku muu"
"2016/10/28 1:43:43 ip. UTC+3","5","5","5","5","Slack;Github;Trello;Whatsapp;Google Forms"
"2016/10/28 1:43:52 ip. UTC+3","4","5","4","5","Slack;Github;Trello;Whatsapp;Google Forms;Joku muu"
"2016/10/28 1:45:11 ip. UTC+3","3","3","3","3","Slack;Github;Trello;Google Forms"
"2016/10/28 1:48:48 ip. UTC+3","5","5","5","4","Slack;Github;Trello;Whatsapp;Google Forms"
"2016/10/28 1:49:07 ip. UTC+3","4","5","5","5","Whatsapp;Google Forms;Joku muu"